Parameter_Name,Parameter_Value,Average_Score,Average_Run_time,,,,,,,,,,,,
Iterations,100,-0.325,1.935,,,,,,,,,,,,
Iterations,300,-0.249,2.997,,,,,,,,,,,,
Iterations,500,-0.345,4.291,,,,,,,,,,,,
Iterations,1000,-0.344,7.589,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Algorithm,Parameter Name,Parameter Value,Average Score,Average Run Time
,,,,,,,,,,,Simulated Annealing,Decrease Rate,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Artificial Bee Colony,Improvement Limit,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Genetic,Iterations,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
