Option_number,Decrease_rate,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
2.0,0.8,0.7,0.1,0.1,0.1,1000.0,1.55,0.093,0.9279
6.0,0.8,0.1,0.7,0.1,0.1,1000.0,1.54,0.0924,0.7532
11.0,0.85,0.1,0.1,0.7,0.1,1000.0,2.5,0.15,-12.1146
15.0,0.85,0.1,0.1,0.1,0.7,1000.0,2.28,0.1368,-0.4106
19.0,0.85,0.3,0.3,0.3,0.1,1000.0,2.02,0.1212,-1.1353
21.0,0.75,0.3,0.3,0.1,0.3,1000.0,1.56,0.0936,1.0774
26.0,0.8,0.3,0.1,0.3,0.3,1000.0,2.34,0.1404,-2.6625
30.0,0.8,0.1,0.3,0.3,0.3,1000.0,2.38,0.1428,-2.753
34.0,0.8,0.5,0.3,0.1,0.1,1000.0,1.37,0.0822,1.3263
38.0,0.8,0.5,0.1,0.3,0.1,1000.0,2.13,0.1278,-1.8498
44.0,0.9,0.5,0.1,0.1,0.3,1000.0,1.6,0.096,0.5873
47.0,0.85,0.3,0.5,0.1,0.1,1000.0,1.53,0.0918,1.4206
50.0,0.8,0.1,0.5,0.3,0.1,1000.0,2.06,0.1236,-1.6072
53.0,0.75,0.1,0.5,0.1,0.3,1000.0,1.76,0.1056,0.5308
60.0,0.9,0.3,0.1,0.5,0.1,1000.0,2.67,0.1602,-6.2884
63.0,0.85,0.1,0.3,0.5,0.1,1000.0,2.44,0.1464,-6.3923
66.0,0.8,0.1,0.1,0.5,0.3,1000.0,2.67,0.1602,-8.0887
72.0,0.9,0.1,0.1,0.3,0.5,1000.0,2.72,0.1632,-4.016
76.0,0.9,0.1,0.3,0.1,0.5,1000.0,2.16,0.1296,0.4407
78.0,0.8,0.3,0.1,0.1,0.5,1000.0,2.2,0.132,0.3983
81.0,0.75,0.25,0.25,0.25,0.25,1000.0,2.1,0.126,-0.9323
